Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Filter,Id
0063100000fGlySAAS,TurkeyOpp-670,Banner,2016-03-03,2016-03-31,295.2,Saxo Capital20163Saxo Capital Stock PriceTurkTicaretMX,Net Cost (Calc Margin),MediaTrader,TurkTicaret,3429,1187,Externally Managed,Triggers,Ekonomi,0.8,CPC,-3.021,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2742.86,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4ZAAS
0063100000fGlyfAAC,TurkeyOpp-83,Banner,2016-04-04,2016-04-30,3100.6,Lufthansa20164Lufthansa Baseline NisanAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,12500,2494.08,Externally Managed,Triggers,Kadin,0.4,CPC,0.1956,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,5000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4aAAC
0063100000fGm34AAC,TurkeyOpp-92,Banner,2016-05-27,2016-05-31,1994,Vodafone20165Vodafone MandelaPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,6000,1200,Externally Managed,Triggers,Kadin,0.4,CPC,0.3982,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,2400,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4bAAC
0063100000fGm6iAAC,TurkeyOpp-1645,Text (Temmuz),2016-10-01,2016-10-30,0,Unico201610Unico Lansman EkimGrapeshootMEC,Net Cost (Calc Margin),MediaTrader,Grapeshoot,16667,36.22,Externally Managed,Triggers,Sigorta,0.6,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Contextual,Digital,10000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4cAAC
0063100000fGm2dAAC,TurkeyOpp-1410,Banner,2016-05-01,2016-05-31,4215.2,Elca Kozmetik20165Clinique MayisMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,12500,2107.6,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,5000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4fAAC
0063100000fGlxrAAC,TurkeyOpp-1475,Banner,2016-04-01,2016-04-09,1265,RedBull20164Anadolu Break IzmirAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,4000,506,Externally Managed,Triggers,Kadin,0.5,CPC,0.6,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4hAAC
0063100000fGm7GAAS,TurkeyOpp-766,Text (Temmuz),2016-10-01,2016-10-30,0,Vodafone201610Vodafone 52 Hafta EkimGrapeshootMS,Net Cost (Calc Margin),MediaTrader,Grapeshoot,0,36.22,Externally Managed,Triggers,Iletisim,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Contextual,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4iAAC
0063100000fGm2qAAC,TurkeyOpp-1636,Banner,2016-04-18,2016-04-30,8104.6,Visa20164Visa Formulea EReklamstoreMEC,Net Cost (Calc Margin),MediaTrader,Reklamstore,12000,2400,Externally Managed,Triggers,Kadin,0.6,CPC,0.7039,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,7200,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4jAAC
0063100000fGm2aAAC,TurkeyOpp-163,Banner,2016-05-03,2016-05-23,1711.2,Vodafone20165Vodafone FZ MNPMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,855.6,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4lAAC
0063100000fGly6AAC,TurkeyOpp-571,Banner,2016-04-18,2016-04-24,3576,Pierre Cardin20164Pierre Cardin GomlekLigatusMX,Net Cost (Calc Margin),MediaTrader,Ligatus,5000,2000,Externally Managed,Triggers,Kadin,0.8,CPC,0.4407,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,4000,012i0000001EB0yAAG,Turkey_LR,a013100000fLq4mAAC
