Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fGlwDAAS,TurkeyLR:619,Banner,2016-01-01,2016-01-31,3200,Visa20161Platinum Masa Mobil DownloadTurkTicaretMEC,Net Cost (Calc Margin),MediaTrader,TurkTicaret,800,2400,Externally Managed,Triggers,RON,4,CPD,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3200,012i0000001EB0yAAG
0063100000fGm7vAAC,TurkeyLR:1298,Banner,2016-11-01,2016-11-15,599,RedBull201611Redbull Mind Game Eskisehir KasimGoClickMEC,Net Cost (Calc Margin),MediaTrader,GoClick,823,181,Externally Managed,Triggers,LifeStyle,0.6,CPC,0.6978,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,493.64,012i0000001EB0yAAG
0063100000fGlwFAAS,TurkeyLR:1909,Banner,2016-01-01,2016-01-31,1200,Vodafone20161Aras KargoMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,3000,593,Externally Managed,Triggers,Finans,0.4,CPC,0.5058,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fGm5QAAS,TurkeyLR:109,Banner,2016-08-01,2016-08-30,11922.75,Nike20168Nike RIO Olympics AgustosPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,30000,5299,Externally Managed,Triggers,Spor,0.45,CPC,0.5556,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,13500,012i0000001EB0yAAG
0063100000fGm5tAAC,TurkeyLR:790,Banner,2016-09-20,2016-09-28,1355,TAC20169Tac Connect EylulReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Tekstil,0.5,CPC,0.631,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1250,012i0000001EB0yAAG
0063100000fGm77AAC,TurkeyLR:999,Banner,2016-10-01,2016-10-30,11452.6,Michelin201610Michelin Cross Climate Native EkimLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,46000,7816.5,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.3175,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,18400,012i0000001EB0yAAG
0063100000fGm2oAAC,TurkeyLR:1574,Banner,2016-05-10,2016-05-31,0,Bayer20165Bayer Alevlendirir MayisReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,3000,600,Externally Managed,Triggers,Kadin,0.4,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fGlyAAAS,TurkeyLR:1582,Banner,2016-04-01,2016-04-30,762,Elca Kozmetik20164Aveda NisanClickvolMS,Net Cost (Calc Margin),MediaTrader,Clickvol,5000,381,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm3hAAC,TurkeyLR:1691,Banner,2016-06-01,2016-06-30,677.2,Elca Kozmetik20166Bobbi Brown Intensive SkinAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,3000,338.6,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,1200,012i0000001EB0yAAG
0063100000fGm6VAAS,TurkeyLR:132,Banner,2016-09-09,2016-09-30,0,Vodafone20169Vodafone Red Yazlik Mekanlar EylulBannerConnectMS,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,180.78,Externally Managed,Triggers,Teknoloji,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Adserver,Digital,0,012i0000001EB0yAAG
0063100000fGlxeAAC,TurkeyLR:1263,Banner,2016-02-22,2016-02-29,954.4,Vodafone20162Vodafone Fillbox Wave 2PopMarkerMS,Net Cost (Calc Margin),MediaTrader,PopMarker,3000,477.2,Externally Managed,Triggers,Dizi,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,1200,012i0000001EB0yAAG
0063100000fGlwOAAS,TurkeyLR:1427,Banner,2016-01-18,2016-01-31,1024.5,Bimeks20161Dell NotebookTurkTicaretMEC,Net Cost (Calc Margin),MediaTrader,TurkTicaret,13333,512.25,Externally Managed,Triggers,Teknoloji,0.3,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fGlxDAAS,TurkeyLR:468,Banner,2016-03-11,2016-03-27,2300,Bimeks20163Bimeks Samsung S7TurkTicaretMEC,Net Cost (Calc Margin),MediaTrader,TurkTicaret,8000,1200,Externally Managed,Triggers,Teknoloji,0.3,CPC,0.4783,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2400,012i0000001EB0yAAG
0063100000fGlyIAAS,TurkeyLR:966,Banner,2016-04-01,2016-04-30,152.8,Elca Kozmetik20164Estee Lauder %25MedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,0,0,Externally Managed,Triggers,Kadin,0,CPC,1,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm5zAAC,TurkeyLR:1368,Banner,2016-09-01,2016-09-28,775.3,Vestel20169Vestel VTS EylulPopmarkerMC,Net Cost (Calc Margin),MediaTrader,Popmarker,3000,600,Externally Managed,Triggers,Tekstil,0.35,CPC,0.2261,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,1050,012i0000001EB0yAAG
0063100000fGm6zAAC,TurkeyLR:45,Banner,2016-10-01,2016-10-30,8207.2,MAC201610MAC EkimAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,12800,3200,Externally Managed,Triggers,Kadin,0.4,CPC,0.6101,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,5120,012i0000001EB0yAAG
0063100000fGm3NAAS,TurkeyLR:891,Banner,2016-06-01,2016-06-17,70.8,TFKB20166TFKB TFX TargetMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,3000,35.4,Externally Managed,Triggers,Finans,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fGm32AAC,TurkeyLR:944,Banner,2016-05-23,2016-05-31,2493.6,Vodafone20165Vodafone FZ Top & GetTurkticaretMS,Net Cost (Calc Margin),MediaTrader,Turkticaret,6667,935.1,Externally Managed,Triggers,Kadin,0.4,CPC,0.625,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2666.67,012i0000001EB0yAAG
