Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fGm6gAAC,TurkeyLR:1556,Banner,2016-09-01,2016-09-30,1501.8,Altinbas20169Altinbas Elmas Kampanyasi EylulMynetMEC,Net Cost (Calc Margin),MediaTrader,Mynet,2500,750,Externally Managed,Triggers,Finans,0.6,CPC,0.5006,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1500,012i0000001EB0yAAG
0063100000fGm6iAAC,TurkeyLR:1645,Text (Temmuz),2016-10-01,2016-10-30,0,Unico201610Unico Lansman EkimGrapeshootMEC,Net Cost (Calc Margin),MediaTrader,Grapeshoot,16667,36.22,Externally Managed,Triggers,Sigorta,0.6,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Contextual,Digital,10000,012i0000001EB0yAAG
0063100000fGlwdAAC,TurkeyLR:1872,Banner,2016-02-01,2016-02-29,1546,Elca Kozmetik20162Clinique SubatReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,78,700,Externally Managed,Triggers,Kadin,0,CPC,0.5472,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm7LAAS,TurkeyLR:534,Banner,2016-10-01,2016-10-30,595,Vodafone201610Vodafone Freezone Konserler Izmir Mobil EkimAdnboostMS,Net Cost (Calc Margin),MediaTrader,Adnboost,1800,450,Externally Managed,Triggers,Iletisim,0.4,CPC,0.2437,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,720,012i0000001EB0yAAG
0063100000fGlwtAAC,TurkeyLR:602,Banner,2016-02-08,2016-02-29,1115.15,Vodafone20162Akil Kupu JumperMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,500,Externally Managed,Triggers,Haber,0.4,CPC,0.5516,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,1115.15,012i0000001EB0yAAG
0063100000fGm5xAAC,TurkeyLR:1272,Banner,2016-09-10,2016-09-28,1161.2,Akbank20169Akbank Caz Festivali EylulMynetMC,Net Cost (Calc Margin),MediaTrader,Mynet,5000,870.9,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGly4AAC,TurkeyLR:1438,Banner,2016-04-14,2016-04-18,1394.3,Bimeks20164Bimeks %23 BiParaTurkTicaretMEC,Net Cost (Calc Margin),MediaTrader,TurkTicaret,5333,800,Externally Managed,Triggers,Kadin,0.3,CPC,0.4262,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGm8nAAC,TurkeyLR:1642,Banner,2016-11-01,2016-11-15,1726,Renault201611Renault Clio Native KasimLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,4000,1000,Externally Managed,Triggers,Otomotiv,0.5,CPC,0.4206,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,2000,012i0000001EB0yAAG
0063100000fGm6vAAC,TurkeyLR:372,Eylul Reporting,2016-10-01,2016-10-30,0,Lilly201610Lilly Diyabetim App CPC EkimBannerConnectMEC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,51.99,Externally Managed,Triggers,Saglik,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Reporting,Digital,0,012i0000001EB0yAAG
0063100000fGlx2AAC,TurkeyLR:1076,Banner,2016-02-22,2016-02-29,1006.8,Vodafone20162Vodafone Falcon Loyalty VestelMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,500,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5034,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGlySAAS,TurkeyLR:258,Banner,2016-04-01,2016-04-30,1047.2,Saxo Capital20164Saxo Capital Stock PriceGoClickMX,Net Cost (Calc Margin),MediaTrader,GoClick,4545,575.96,Externally Managed,Triggers,Kadin,0.4,CPC,0.45,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1818,012i0000001EB0yAAG
0063100000fGm8PAAS,TurkeyLR:1758,Banner,2016-11-01,2016-11-30,4792.8,BobbiBrown201611Bobbi Brown KasimMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,3333,999.9,Externally Managed,Triggers,Kadin,0.4,CPC,0.7914,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1333.2,012i0000001EB0yAAG
0063100000fGm2uAAC,TurkeyLR:273,Banner,2016-05-01,2016-05-31,648.9,Shell20165Shell HelixMynetMC,Net Cost (Calc Margin),MediaTrader,Mynet,1667,432.6,Externally Managed,Triggers,Kadin,0.45,CPC,0.3333,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,750,012i0000001EB0yAAG
0063100000fGlwuAAC,TurkeyLR:376,Banner,2016-02-02,2016-02-29,3200,Vodafone20162Corp Cozumler SubatAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,8000,2121.8,Externally Managed,Triggers,RTB,0.4,CPC,0.3369,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3200,012i0000001EB0yAAG
0063100000fGm3WAAS,TurkeyLR:1374,Banner,2016-06-01,2016-06-20,216,Vodafone20166Vodafone Red Html5ReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,5000,91,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5787,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm5RAAS,TurkeyLR:1450,Banner,2016-08-01,2016-08-30,752.8,Shell20168Shell YKB AgustosMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,376.4,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlvvAAC,TurkeyLR:67,Banner,2016-01-01,2016-01-10,2500,Vodafone20161Ready News AndroidTurkTicaretMS,Net Cost (Calc Margin),MediaTrader,TurkTicaret,500,1500,Externally Managed,Triggers,Android,5,CPD,0.4,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2500,012i0000001EB0yAAG
0063100000fGm6eAAC,TurkeyLR:175,Banner,2016-09-01,2016-09-30,1782.6,Huawei20169Huawei P9 Lite EylulMynetMX,Net Cost (Calc Margin),MediaTrader,Mynet,2667,180,Externally Managed,Triggers,Finans,0.4,CPC,0.899,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1066.67,012i0000001EB0yAAG
0063100000fGlxyAAC,TurkeyLR:290,Banner,2016-04-09,2016-04-15,889,Bimeks20164Bimeks iPhoneDeskFiveMEC,Net Cost (Calc Margin),MediaTrader,DeskFive,3000,508,Externally Managed,Triggers,Kadin,0.35,CPC,0.4286,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1050,012i0000001EB0yAAG
0063100000fGm6hAAC,TurkeyLR:352,Banner,2016-10-01,2016-10-30,7895.2,BobbiBrown201610Bobbi Brown EkimMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,0,500,Externally Managed,Triggers,Kadin,0.4,CPC,0.9367,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm7kAAC,TurkeyLR:508,Banner,2016-10-01,2016-10-30,2884.8,Renault201610Renault Megane Sedan 11 EkimAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,3750,750,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.74,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,1500,012i0000001EB0yAAG
0063100000fGlyiAAC,TurkeyLR:1054,Banner,2016-04-21,2016-04-30,2255.4,Shell20164Shell Rimula 2016ReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,5000,1000,Externally Managed,Triggers,Kadin,0.45,CPC,0.5566,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2250,012i0000001EB0yAAG
0063100000fGm7UAAS,TurkeyLR:1341,Banner,2016-10-01,2016-10-30,360,Vodafone201610Vodafone Squat CPD Android EkimAdnboostMS,Net Cost (Calc Margin),MediaTrader,Adnboost,600,147.5,Externally Managed,Triggers,Iletisim,6,CPD,0.5903,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3600,012i0000001EB0yAAG
0063100000fGm3HAAS,TurkeyLR:17,Banner,2016-06-10,2016-06-12,144,Elca Kozmetik20166Estee Lauder PleasuresMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000,72,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,400,012i0000001EB0yAAG
0063100000fGlwJAAS,TurkeyLR:1205,Banner,2016-01-16,2016-01-31,2002.8,Vodafone20161Vodafone Falcon Loyalty ToyzzShopMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,10000,1000,Externally Managed,Triggers,Genclik,0.4,CPC,0.5007,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fGm7RAAS,TurkeyLR:1842,Banner,2016-10-01,2016-10-30,1000,Vodafone201610Vodafone Red Budget Html5 EkimReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Iletisim,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGlywAAC,TurkeyLR:1844,Banner,2016-03-04,2016-03-31,1134,Akbank20163Akbank Neo KartReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,2500,500,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.5591,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGm8ZAAS,TurkeyLR:56,Banner,2016-11-01,2016-11-30,1970.4,MAC201611MAC KasimLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,10000,1477.8,Externally Managed,Triggers,Kadin,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,4000,012i0000001EB0yAAG
0063100000fGlwlAAC,TurkeyLR:253,Banner,2016-02-02,2016-02-29,1119.8,Akbank20162Akbank Kobi AileMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,2000,400,Externally Managed,Triggers,Ekonomi,0.4,CPC,0.6428,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,800,012i0000001EB0yAAG
0063100000fGlyZAAS,TurkeyLR:356,Mobile Banner,2016-04-13,2016-04-30,5045.6,Akbank20164Akbank Tradeall MobilAdnboostMC,Net Cost (Calc Margin),MediaTrader,Adnboost,9600,2400,Externally Managed,Triggers,Kadin,0.4,CPC,0.5243,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3840,012i0000001EB0yAAG
0063100000fGm5QAAS,TurkeyLR:1606,Banner,2016-08-01,2016-08-30,7812,Nike20168Nike RIO Olympics AgustosReklamStoreMS,Net Cost (Calc Margin),MediaTrader,ReklamStore,15000,3000,Externally Managed,Triggers,Spor,0.45,CPC,0.616,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,6750,012i0000001EB0yAAG
0063100000fGm2wAAC,TurkeyLR:212,Banner,2016-05-01,2016-05-31,2646.4,Shell20165Shell Tasit Tanima PlaniReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,5000,1000,Externally Managed,Triggers,Kadin,0.4,CPC,0.6221,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm6OAAS,TurkeyLR:275,Banner,2016-09-09,2016-09-30,1859.2,Vodafone20169Vodafone Adaptive Tariff Standart EylulAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,3333,1525.01,Externally Managed,Triggers,Teknoloji,0.6,CPC,0.1797,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,2000,012i0000001EB0yAAG
0063100000fGm5GAAS,TurkeyLR:627,Banner,2016-08-01,2016-08-30,1500,Zorlu PSM20168Zorlu THY Miles Smiles AgustosAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,3200,789.56,Externally Managed,Triggers,Finans,0.4,CPC,0.4736,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1280,012i0000001EB0yAAG
0063100000fGlxgAAC,TurkeyLR:1383,Banner,2016-03-17,2016-03-31,1180,Vodafone20163Vodafone Preject Atina Buyback LGTurkTicaretMS,Net Cost (Calc Margin),MediaTrader,TurkTicaret,5333,442.5,Externally Managed,Triggers,Cihaz,0.4,CPC,0.625,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2133.33,012i0000001EB0yAAG
0063100000fGlxcAAC,TurkeyLR:1668,Banner,2016-01-01,2016-01-31,2000,Vodafone20161Vodafone Corp CozumlerMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,5000,735.3,Externally Managed,Triggers,Finans,0.4,CPC,0.6324,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlz0AAC,TurkeyLR:968,Banner,2016-05-01,2016-05-10,2937.2,Vodafone20165Vodafone Heroes Samsung S7 DisplayAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,7500,1388.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5273,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,3000,012i0000001EB0yAAG
0063100000fGm7tAAC,TurkeyLR:1231,Banner,2016-11-01,2016-11-14,5499.6,Nike201611Nike Football Training KasimLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,10000,2749.8,Externally Managed,Triggers,Spor,0.6,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,6000,012i0000001EB0yAAG
0063100000fGm2uAAC,TurkeyLR:1366,Banner,2016-05-01,2016-05-31,1963.35,Shell20165Shell HelixReklamstoreMC,Net Cost (Calc Margin),MediaTrader,Reklamstore,2250,450,Externally Managed,Triggers,Kadin,0.45,CPC,0.7708,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1012.5,012i0000001EB0yAAG
0063100000fGlyYAAS,TurkeyLR:1624,Banner,2016-04-13,2016-04-30,2364,Akbank20164Akbank Tradeall DisplayGoClickMC,Net Cost (Calc Margin),MediaTrader,GoClick,5909,1300,Externally Managed,Triggers,Kadin,0.4,CPC,0.4501,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2363.64,012i0000001EB0yAAG
0063100000fGlz3AAC,TurkeyLR:318,Banner,2016-04-08,2016-04-30,2003.6,Bridgestone20164Bridgestone Data TargetingMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,1000,Externally Managed,Triggers,Kadin,0.4,CPC,0.5009,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGlyTAAS,TurkeyLR:680,Banner,2016-04-06,2016-04-30,982.8,Akbank20164Akbank FintechDeskFiveMC,Net Cost (Calc Margin),MediaTrader,DeskFive,2500,491.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGlyLAAS,TurkeyLR:1128,Banner,2016-04-27,2016-04-30,1441.14,Elca Kozmetik20164Estee Lauder InfiniteAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,5000,752.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.4779,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,2000,012i0000001EB0yAAG
0063100000fGlyqAAC,TurkeyLR:1086,Banner,2016-04-09,2016-04-30,2988.6,Renault20164Renault Satis NisanAdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,10000,1992.4,Externally Managed,Triggers,Kadin,0.3,CPC,0.3333,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,3000,012i0000001EB0yAAG
0063100000fGm3jAAC,TurkeyLR:1167,Banner,2016-06-01,2016-06-30,1858.2,Elca Kozmetik20166Clinique HaziranAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fGm5WAAS,TurkeyLR:1300,Banner,2016-08-04,2016-08-30,706.4,Vodafone20168Vodafone Digital Shop AgustosMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,3333,529.8,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fGm62AAC,TurkeyLR:1572,Banner,2016-09-23,2016-09-29,1190.8,Vodafone20169Vodafone Red Famous Cup EylulMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,2500,539,Externally Managed,Triggers,Teknoloji,0.6,CPC,0.5474,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1500,012i0000001EB0yAAG
0063100000fGm7BAAS,TurkeyLR:1612,Ekim Reporting,2016-10-01,2016-10-30,0,Nike201610Nike Beautiful X EkimBannerConnectMS,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,174.71,Externally Managed,Triggers,Spor,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Reporting,Digital,0,012i0000001EB0yAAG
0063100000fGlyOAAS,TurkeyLR:157,Banner,2016-04-19,2016-04-30,11.2,Elca Kozmetik20164MAC Eyes OnAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,7500,16.58,Externally Managed,Triggers,Kadin,0.4,CPC,-0.4804,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,3000,012i0000001EB0yAAG
0063100000fGlx8AAC,TurkeyLR:463,Banner,2016-03-11,2016-03-14,500,Teknosa20163Teknosa Turuncu Indirim 11-14 MartPopMarkerMC,Net Cost (Calc Margin),MediaTrader,PopMarker,2500,500,Externally Managed,Triggers,Teknoloji,0.4,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fGlyrAAC,TurkeyLR:552,Banner,2016-04-01,2016-04-30,2092.8,Akbank20164Akbank BKEGoClickMC,Net Cost (Calc Margin),MediaTrader,GoClick,7273,1600,Externally Managed,Triggers,Kadin,0.4,CPC,0.2355,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2909.09,012i0000001EB0yAAG
0063100000fGm3xAAC,TurkeyLR:726,Banner,2016-06-01,2016-06-30,202,Zorlu PSM20166Zorlu THY Miles&Smiles HaziranAppnexusMC,Net Cost (Calc Margin),MediaTrader,Appnexus,5000,138.52,Externally Managed,Triggers,Seyahat,0.4,CPC,0.3143,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,2000,012i0000001EB0yAAG
0063100000fGm2TAAS,TurkeyLR:1161,Banner,2016-05-10,2016-05-15,937.2,Vodafone20165Vodafone FZ Ankara KonserMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,3000,468.6,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG
0063100000fGlypAAC,TurkeyLR:1405,Banner,2016-04-08,2016-04-30,1530,Lassa20164Lassa Satis NisanMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,5000,765,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGm38AAC,TurkeyLR:729,Banner,2016-03-11,2016-03-14,1360,Bimeks20163Bimeks KDV BiParaAdinteractionMEC,Net Cost (Calc Margin),MediaTrader,Adinteraction,4000,715.4,Externally Managed,Triggers,Teknoloji,0.34,CPC,0.474,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1360,012i0000001EB0yAAG
