Opportunity__c,External_Id__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
006630000042cdTAAQ,1344829193,Xaxis Rich Media,4/9/2016,4/15/2016,3750,Istikbal0416_Yatak_Lansman_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1000000,1207.78,Externally Managed,Triggers,Interstitial,3.75,cpm,0.8667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bXgAAI,735151552,Xaxis Tv,1/14/2016,1/27/2016,825,Danone0116_Uzmana_Sor_Preroll_Clickvol_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clickvol,25000,23.23,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5455,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042bYOAAY,-1810930592,Xaxis Rich Media,1/29/2016,1/31/2016,675,Bimeks0116_Binlerce_Urun_Kdv_Interstitial_Bond_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,150000,675,Externally Managed,Triggers,Interstitial,4.5,cpm,0.5,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042cdAAAQ,2099118607,Xaxis Lookalike,3/1/2016,3/30/2016,1950,Vodafone0316_Corp_Cozumler_Reklamstore_LAL_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamstore,1500000,1071.89,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.7308,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042baBAAQ,-1423178266,Xaxis Rich Media,3/25/2016,3/28/2016,1275,Teknosa0316_Turuncu_Faz4_Medyanet_Interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,300000,1275,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8824,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bXPAAY,-1772654427,Xaxis Display Plus,1/1/2016,1/14/2016,2000,GSK0116_Sensodyne_Hypernova_interest_Reklamz_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamz,2000000,483.96,Externally Managed,Triggers,Selected Sites,1,cpm,0.9,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042ceNAAQ,139334015,Xaxis Rich Media,4/6/2016,4/30/2016,3187.5,IKEA0416_Bahar_Yaz_interstitial_Digitalm_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,750000,4480,Externally Managed,Triggers,Interstitial,4.25,cpm,0.5815,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042dGIAAY,-1781489941,Xaxis Tv,5/1/2016,5/31/2016,13000,MIchelin0516_Cross_Climate_Preroll_Midyo_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Midyo,400000,9595.4,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.7916,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042bYVAAY,-1130592623,Xaxis Lookalike,2/1/2016,2/1/2016,3770,Vodafone_Corp_Cozumler_LAL_Medyanet_OcakKalan_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,2900000,0,Externally Managed,Triggers,Selected Sites,1.3,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042celAAA,-130575330,Xaxis SYNC,4/8/2016,4/30/2016,12000,Lassa0416_Satis_Kampanyasi_SYNC_Clipkit_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clipkit,200000,12009,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.3838,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cg8AAA,190595477,Xaxis Rich Media,5/1/2016,5/31/2016,1000,Karcher516_Buharli_Temizlik_Makinasi_interstitial_Medyanet_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,200000,1000,Externally Managed,Triggers,Interstitial,5,cpm,0.9,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042cfpAAA,905749521,Xaxis Display Plus,5/8/2016,5/31/2016,1800,Atasay0516_Atasay_Katalog_interest_Digitalm_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1000000,1801.06,Externally Managed,Triggers,Selected Sites,1.8,cpm,0.889,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cdsAAA,2040371699,Xaxis Display Plus,4/4/2016,4/30/2016,1000,Bimsa0416_Imaj_Kampanyasi_interest_Adhood_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adhood,1000000,1101.74,Externally Managed,Triggers,Selected Sites,1,cpm,0.8639,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cezAAA,2009775822,Xaxis Display Plus,4/29/2016,5/7/2016,1200,Altinbas0416_Anneler_Gunu_Interest_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1500000,204.6,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.875,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cfWAAQ,809234177,Xaxis Rich Media,5/20/2016,5/23/2016,850,Teknosa_Turuncu_indirim_20-23_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,200000,850,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
