Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004SwvUAAS,NordicOrderID:12176,Xaxis TV,2015-12-26 12:00:00,2015-12-29 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwvUAAS,NordicOrderID:12177,Xaxis TV,2016-01-01 12:00:00,2016-01-02 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly6AAAQ,NordicOrderID:35569,Xaxis TV,2016-11-21 12:00:00,2016-12-18 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Display - Mobile Cube,Video
00663000004ly4dAAA,NordicOrderID:38813,Xaxis TV,2016-12-01 12:00:00,2016-12-20 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain",Video
00663000004ly5uAAA,NordicOrderID:35018,Xaxis TV,2016-10-01 12:00:00,2016-10-31 12:00:00,2000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vejhjaelp - Ny trafik,Video
00663000004ly6eAAA,NordicOrderID:38342,Xaxis TV,2016-11-24 12:00:00,2016-12-04 12:00:00,2000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,RON,Video
00663000004ly65AAA,NordicOrderID:35823,Xaxis TV,2016-11-14 12:00:00,2016-12-04 12:00:00,3000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis - Behavioural targeting - Finans.dk/investor (Nyt JP/EB Medie),Video
00663000004ly4kAAA,NordicOrderID:38351,Xaxis TV,2016-12-12 12:00:00,2016-12-15 12:00:00,3868,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,25-65 (Spotlaengde: 25 sek) Frek1/spot start kl. 14 mandag½,Video
00663000004SwzqAAC,NordicOrderID:38201,Xaxis TV,2016-06-01 12:00:00,2016-06-30 12:00:00,3996,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vejhjaelp - Ny Trafik,Video
00663000004ly5tAAA,NordicOrderID:38394,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,4000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vejhjaelp - Ny trafik,Video
00663000004ly7bAAA,NordicOrderID:34928,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,4165,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Awareness/reach supplement (Facebook budget) F 25-45,Video
00663000004ly7ZAAQ,NordicOrderID:38378,Xaxis TV,2016-12-01 12:00:00,2016-12-31 12:00:00,4165,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Awareness/Reach (demografisk, fashion context))",Video
00663000004ly7rAAA,NordicOrderID:38267,Xaxis TV,2016-11-25 12:00:00,2017-01-31 12:00:00,5000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,LinkedIn,Video
