Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004SwzKAAS,NordicOrderID:35646,Xaxis TV,2016-02-08 12:00:00,2016-12-31 12:00:00,45000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004ly5UAAQ,NordicOrderID:34972,Xaxis TV,2016-10-31 12:00:00,2017-01-01 12:00:00,45000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic,Video
00663000004ly7UAAQ,NordicOrderID:35717,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,45000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis Video - RON,Video
00663000004ly60AAA,NordicOrderID:34681,Xaxis TV,2016-10-27 12:00:00,2016-10-29 12:00:00,46900,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Adfaerd,Video
00663000004ly4fAAA,NordicOrderID:35198,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,48000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Adfaerd,Video
00663000004ly8HAAQ,NordicOrderID:37554,Xaxis TV,2016-11-21 12:00:00,2016-12-18 12:00:00,48424,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach,Video
00663000004ly7aAAA,NordicOrderID:36281,Xaxis TV,2016-12-01 12:00:00,2016-12-31 12:00:00,50000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Awareness/reach supplement (Facebook budget) F 25-45,Video
00663000004ly8DAAQ,NordicOrderID:34947,Xaxis TV,2016-10-20 12:00:00,2016-11-09 12:00:00,50088,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - ROS,Video
00663000004SwzKAAS,NordicOrderID:35645,Xaxis TV,2016-02-08 12:00:00,2016-12-31 12:00:00,50151,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004ly7wAAA,NordicOrderID:34925,Xaxis TV,2016-11-01 12:00:00,2016-12-31 12:00:00,50491,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,P13- 17 ar (Segmenteret pa postnumre),Video
00663000004Sx5XAAS,NordicOrderID:34948,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,50570,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting og prospecting i september,Video
00663000004ly4zAAA,NordicOrderID:35091,Xaxis TV,2016-11-01 12:00:00,2016-12-18 12:00:00,51350,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - RON,Video
00663000004ly6DAAQ,NordicOrderID:38184,Xaxis TV,2016-11-21 12:00:00,2016-12-31 12:00:00,51900,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: AALST,Video
00663000004ly8dAAA,NordicOrderID:35527,Xaxis TV,2016-11-02 12:00:00,2016-11-30 12:00:00,52226,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly61AAA,NordicOrderID:35826,Xaxis TV,2016-11-22 12:00:00,2016-12-23 12:00:00,52900,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Bogjul,Video
00663000004ly61AAA,NordicOrderID:35828,Xaxis TV,2016-11-15 12:00:00,2016-12-23 12:00:00,53000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Bogjul,Video
00663000004ly6yAAA,NordicOrderID:38020,Xaxis TV,2016-11-28 12:00:00,2016-12-22 12:00:00,54298,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly4eAAA,NordicOrderID:38381,Xaxis TV,2016-11-01 12:00:00,2016-11-30 12:00:00,55000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Upper Funnel - No Travel Behavior,Video
00663000004ly4dAAA,NordicOrderID:38812,Xaxis TV,2016-12-01 12:00:00,2016-12-20 12:00:00,55000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain",Video
00663000004ly7eAAA,NordicOrderID:33374,Xaxis TV,2016-10-21 12:00:00,2016-12-08 12:00:00,55763,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Targeted A25-34 + A25-44, behaviour, retargeting",Video
00663000004ly6RAAQ,NordicOrderID:34788,Xaxis TV,2016-11-01 12:00:00,2017-01-15 12:00:00,55814,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Drammen,Video
00663000004ly8aAAA,NordicOrderID:35532,Xaxis TV,2016-11-02 12:00:00,2016-11-30 12:00:00,56912,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly8hAAA,NordicOrderID:35531,Xaxis TV,2016-11-04 12:00:00,2016-11-30 12:00:00,56912,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly8mAAA,NordicOrderID:35824,Xaxis TV,2016-11-24 12:00:00,2016-12-24 12:00:00,57000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Contextual, Lookalikes",Video
00663000004ly8WAAQ,NordicOrderID:38018,Xaxis TV,2016-12-12 12:00:00,2016-12-25 12:00:00,58000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,2. WEB-TV Reach (foraeldre + teens),Video
00663000004ly7ZAAQ,NordicOrderID:38376,Xaxis TV,2016-12-01 12:00:00,2016-12-25 12:00:00,58636,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Awareness/Reach (demografisk, fashion context))",Video
00663000004ly5aAAA,NordicOrderID:35554,Xaxis TV,2016-11-07 12:00:00,2016-12-18 12:00:00,60000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Demografi (25+, Boligejere)",Video
00663000004ly59AAA,NordicOrderID:38032,Xaxis TV,2016-11-21 12:00:00,2016-12-25 12:00:00,60000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Mobil SERVO datalag,Video
00663000004ly5pAAA,NordicOrderID:38816,Xaxis TV,2016-12-12 12:00:00,2016-12-25 12:00:00,62500,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004ly4uAAA,NordicOrderID:37552,Xaxis TV,2016-11-21 12:00:00,2020-01-01 12:00:00,63000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Display,Video
00663000004ly4zAAA,NordicOrderID:34773,Xaxis TV,2016-11-01 12:00:00,2016-12-18 12:00:00,65000,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - RON,Video
00663000004ly5xAAA,NordicOrderID:38676,Xaxis TV,2016-12-02 12:00:00,2016-12-24 12:00:00,65025,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Targeted Core and Curios - high reach,Video
00663000004ly5QAAQ,NordicOrderID:38188,Xaxis TV,2016-11-28 12:00:00,2016-12-20 12:00:00,65728,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Geo seg. uge 48-51 midt og vestjylland (udvalgte stationer),Video
00663000004ly8wAAA,NordicOrderID:38855,Xaxis TV,2016-12-01 12:00:00,2016-12-25 12:00:00,66630,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Video - RON - Norway,Video
00663000004ly8yAAA,NordicOrderID:38843,Xaxis TV,2016-12-01 12:00:00,2016-12-25 12:00:00,67798,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Video - RON - Sweden,Video
