Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a0063000002sxYhAAI,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfqPAAT,DKK,Libratone - Libratone - Display - Nightingale - Februar 2016,"Mar 4, 2016",Closed Won
Xaxis,a0063000002sxYhAAI,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfqPAAT,DKK,Libratone - Libratone - June Review - 2016,"Jun 30, 2016",Closed Won
Xaxis,a0063000002sxYHAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflcAAD,DKK,Johannes Fog A/S - Carport kampagne - marts 2016,"Apr 30, 2016",Closed Won
Xaxis,a0063000002sxYjAAI,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfqSAAT,DKK,"Liquidminds ApS - Re-targeting kampagne, Q3 2016 + Q1 2017, online","Mar 4, 2017",Closed Won
Xaxis,a0063000002sxYjAAI,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfqSAAT,DKK,Liquidminds ApS - Skandia - Re-targeting uge 26-52 2015,"Dec 31, 2015",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat DK - RTB 2016,"Oct 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat DK - RTB April 2016,"May 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat DK - RTB lokal Arhus/Odense,"Jan 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat DK - RTB Maj 2016,"May 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat DK - RTB Marts 2016,"May 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB - ekstra Februar 2016,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB - Februar 2016,"Mar 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB - Februar ekstra_2 2016,"Feb 29, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB Januar 2016_Conzoom,"Jan 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB Januar 2016_Reach,"Jan 31, 2016",Closed Won
Xaxis,a0063000002sxYJAAY,a0063000002sxW0AAI,012i0000001EAyNAAW,0016300000FXflfAAD,DKK,Just-Eat ApS - Just-Eat RTB Nytar 2016,"Jan 31, 2016",Closed Won
Xaxis,a0063000002sxYmAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqWAAT,DKK,Maj Invest - Informationsmoder,"Oct 6, 2016",Closed Won
Xaxis,a0063000002sxYOAAY,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXflkAAD,DKK,"Kobenhavns Universitet - Abent hus og Kvote 2, Q1 2016, online","Mar 31, 2016",Closed Won
Xaxis,a0063000002sxYOAAY,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXflkAAD,DKK,"Kobenhavns Universitet - Studievalg og afklaring + kvote 1, Q2 2016, online","Aug 31, 2016",Closed Won
Xaxis,a0063000002sxYpAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqZAAT,DKK,MatchOffice ApS - Kampagne 1 Dynamiske priser,"Aug 31, 2016",Closed Won
Xaxis,a0063000002sxYpAAI,a003100000eqQelAAE,012i0000001EAyNAAW,0016300000FXfqZAAT,DKK,MatchOffice ApS - Kampagne 2: Afregner til fast CPM,"Aug 31, 2016",Closed Won
