Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004Sx9KAAS,NordicOrderID:12252,Xaxis TV,2016-04-18 12:00:00,2016-07-03 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Semantisk targeting (Bodil Jorgensen, Orkenens sonner, Cirkus Revyen etc)",Video
00663000004SwtlAAC,NordicOrderID:17408,Xaxis TV,2016-04-30 12:00:00,2016-05-13 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,National kampagne. Skal stoppe d. 13/5 kl. 16,Video
00663000004Sx9VAAS,NordicOrderID:16951,Xaxis TV,2016-05-09 12:00:00,2016-09-04 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Xaxis Video Reach - Bornefamilier, hele DK",Video
00663000004Sx7KAAS,NordicOrderID:17244,Xaxis Mobile,2016-05-17 12:00:00,2016-05-25 12:00:00,15000,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Xaxis Mobil - Mobilinteresseret, Iphone brugere",Mobile
00663000004SxAsAAK,NordicOrderID:16841,Xaxis TV,2016-05-17 12:00:00,2016-06-05 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Desktop/tablet,Video
00663000004SwwRAAS,NordicOrderID:17482,Xaxis TV,2016-05-23 12:00:00,2016-06-19 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vestsv/ Crister - Geo HT/ NJ,Video
00663000004SxDmAAK,NordicOrderID:18229,Xaxis TV,2016-06-01 12:00:00,2016-06-30 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Dynamic Allocation, Display Ads - Retargeting/Beh. Targeting",Video
00663000004SxA2AAK,NordicOrderID:18238,Xaxis TV,2016-06-27 12:00:00,2016-07-17 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Viewed RON Mens sport, health and fashion sites CrossDevice Banner Freq. 3 per week",Video
00663000004SwtFAAS,NordicOrderID:18821,Xaxis TV,2016-07-01 12:00:00,2016-07-31 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Upper Funnel - No Travel Behavior (monthly freq 10),Video
00663000004Sx82AAC,NordicOrderID:19146,Xaxis Mobile,2016-08-01 12:00:00,2016-08-31 12:00:00,15000,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - RT+ Facebook,Mobile
00663000004SwzoAAC,NordicOrderID:19429,Xaxis TV,2016-08-01 12:00:00,2016-08-31 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Vejhjaelp - Ny Trafik,Video
00663000004Sx9GAAS,NordicOrderID:19330,Xaxis TV,2016-08-01 12:00:00,2016-09-21 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach strategi (turbine segment Weddings) og retargeting strategi malrettet bryllupssektionerne.,Video
00663000004Sx8BAAS,NordicOrderID:28008,Xaxis Mobile,2016-09-01 12:00:00,2016-09-30 12:00:00,15000,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - RT+ Facebook,Mobile
00663000004Sx2EAAS,NordicOrderID:30021,Xaxis TV,2016-09-19 12:00:00,2016-10-02 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO: Frederikshavn,Video
00663000004Sx2JAAS,NordicOrderID:30022,Xaxis TV,2016-09-19 12:00:00,2016-10-02 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,GEO:Ishoj,Video
00663000004Sx7NAAS,NordicOrderID:31518,Xaxis Mobile,2016-09-29 12:00:00,2016-10-30 12:00:00,15000,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK Mobile - Behavourial Targeting,Mobile
00663000004Sx9DAAS,NordicOrderID:30177,Xaxis TV,2016-10-10 12:00:00,2016-11-06 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach strategier - HT & Sjaelland (Bornefamilier med aeldre born),Video
00663000004Sx9DAAS,NordicOrderID:31151,Xaxis TV,2016-10-10 12:00:00,2016-11-06 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach strategier - HT & Sjaelland (Bornefamilier med aeldre born),Video
00663000004SwwjAAC,NordicOrderID:33225,Xaxis TV,2016-10-19 12:00:00,2016-11-30 12:00:00,15000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Adfaerdsmalrettet banner,Video
00663000004Sx1DAAS,NordicOrderID:10501,Xaxis TV,2016-01-01 12:00:00,2016-12-31 12:00:00,15001,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting,Video
00663000004Sx7rAAC,NordicOrderID:14932,Xaxis TV,2016-03-07 12:00:00,2016-03-20 12:00:00,15022,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Skotrends + B&Co opstart,Video
00663000004Swy7AAC,NordicOrderID:11238,Xaxis TV,2016-01-11 12:00:00,2016-07-03 12:00:00,15054,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain - DK",Video
00663000004SwyhAAC,NordicOrderID:17699,Xaxis TV,2016-05-16 12:00:00,2016-08-07 12:00:00,15500,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Late Sale - BHV + RTG Geo target Jyllnad,Video
00663000004SxAaAAK,NordicOrderID:31450,Xaxis TV,2016-10-03 12:00:00,2016-10-16 12:00:00,15667,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"RON W25-40, young moms & young business women Desktop Banner 300x600, 300x250, 930x180 freq. 2 peer",Video
00663000004Sx6qAAC,NordicOrderID:19476,Xaxis TV,2016-08-01 12:00:00,2016-08-31 12:00:00,15729,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Programmatic SE,Video
00663000004SxB6AAK,NordicOrderID:11917,Xaxis TV,2016-02-05 12:00:00,2016-02-17 12:00:00,15740,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Desktop/Mobil; foraeldre,Video
