Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fGm8ZAAS,,Banner,2016-11-01,2016-11-30,270.8,MAC201611MAC KasimAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,2000000,621.08,Externally Managed,Triggers,Kadin,0.4,CPM,-1.2935,From spreadsheet: Turkey LR | Campaign Data,RTB,Digital,800,012i0000001EB0yAAG
0063100000fk5S1AAI,,Banner,2016-11-11,2016-11-30,1500,Cosmetica201611Cosmetica KasimReklamstoreMX,Net Cost (Calc Margin),MediaTrader,Reklamstore,0,1159.76,Externally Managed,Triggers,Alisveris,0.8,CPC,0.2268,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fk5SAAAY,,Banner,2016-12-01,2016-12-11,500,KKB201612KKB Kredi Notu AralikMedyanetMC,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,115.27,Externally Managed,Triggers,Otomotiv,0.4,CPM,0.7695,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,200,012i0000001EB0yAAG
0063100000fk5SwAAI,,Banner,2016-12-01,2016-12-31,3333.33,Vodafone201612Vodafone - MNP New Year - NVF Hedefli AralikBondMS,Net Cost (Calc Margin),MediaTrader,Bond,200000,57.34,Externally Managed,Triggers,Teknoloji,0.4,CPM,0.9398,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fk5TSAAY,,Banner,2016-12-16,2016-12-31,3076.92,Renault201612RENAULT Dacia Duster Standart BannerPopmarker 728x90MEC,Net Cost (Calc Margin),MediaTrader,Popmarker 728x90,2500,500,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.8375,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1000,012i0000001EB0yAAG
0063100000fk5SiAAI,,Banner,2016-12-01,2016-12-31,5224.4,GoDaddy201612GoDaddy AralikGoclickMEC,Net Cost (Calc Margin),MediaTrader,Goclick,9091,218.02,Externally Managed,Triggers,Teknoloji,0.8,CPC,0.9583,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,7272.73,012i0000001EB0yAAG
0063100000fk5S7AAI,,Banner,2016-11-24,2016-11-30,558.5,Renault201611Tadim Irem DericiMedyanetMEC,Net Cost (Calc Margin),MediaTrader,Medyanet,600000,63.47,Externally Managed,Triggers,Otomotiv,0.5,CPM,0.8864,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,300,012i0000001EB0yAAG
0063100000fk5TNAAY,,Banner,2016-12-27,2016-12-31,1000,Vodafone201612Vodafone Roaming Yilbasi MobilAdnboostMS,Net Cost (Calc Margin),MediaTrader,Adnboost,4000,0,Externally Managed,Triggers,Teknoloji,0.4,CPC,1,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,1600,012i0000001EB0yAAG
0063100000fGm8FAAS,,Banner,2016-11-01,2016-11-27,5000,Vodafone201611Vodafone 52 Hafta Native KasimLigatusMS,Net Cost (Calc Margin),MediaTrader,Ligatus,10000,3000,Externally Managed,Triggers,Teknoloji,0.5,CPC,0.4,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,5000,012i0000001EB0yAAG
0063100000fGm8GAAS,,Banner,2016-11-01,2016-11-27,0,Vodafone201611Vodafone Prepaid Boundless Dusuk-Orta Gelir KasimBannerConnectMS,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,134.85,Externally Managed,Triggers,Teknoloji,0,CPC,0.8117,From spreadsheet: Turkey LR | Campaign Data,Adserver,Digital,1666.5,012i0000001EB0yAAG
