Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Id,Original_Gross_Budget__c
0063100000ejrKrAAI,TurkeyOpp-398,Xaxis Display Plus,2016-05-27,2016-05-31,375,Vodafoen0516_Project_Tolkien_interest_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,750000,600,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe7oAAC,600
0063100000ekio4AAA,TurkeyOpp-1011,Xaxis Display Plus,2016-07-01,2016-07-31,190.33,Vodafone0716_Red_Business_Contextual_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,1500000,1430.17,Externally Managed,Triggers,Selected Sites,1.8,cpm,0.8669,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeAxAAK,2700
0063100000ejrIqAAI,TurkeyOpp-1719,Xaxis Display Plus,2016-05-01,2016-05-07,55.12,Altinbas0516_Anneler_Gunu_interest_Nokta_MEC,Net Cost (Calc Margin),MediaTrader,Nokta,600000,440.98,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.875,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdaGAAS,480
0063100000ejrITAAY,TurkeyOpp-2042,Xaxis Display Plus,2016-04-25,2016-04-30,195.42,Vodafone0416_Samsung_Heroes_7_interest_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1000000,312.67,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe9cAAC,800
0063100000ejrH4AAI,TurkeyOpp-1688,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,100,Vodafone0316_Project_Big_Bang_Medyanet_LAL_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,1306.23,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9234,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe92AAC,1300
0063100000ekisVAAQ,TurkeyOpp-939,Xaxis Rich Media,2016-10-19,2016-10-31,0,Vodafone1016_52_Hafta_insaat_interest_Medyanet(interstitial)_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,300000,0,Externally Managed,Triggers,Interstitial,2,cpm,0,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKeCxAAK,600
0063100000ekinLAAQ,TurkeyOpp-2173,Xaxis Display Plus,2016-07-01,2016-07-10,682.1,Huawei0716_P9_Lansman_interest_Appnexus_MX,Net Cost (Calc Margin),MediaTrader,Appnexus,682098,2000,Externally Managed,Triggers,Selected Sites,4.25,cpm,0.659,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdolAAC,2898.92
0063100000ejrCiAAI,TurkeyOpp-271,Xaxis Rich Media,2016-03-04,2016-03-08,0,Teknosa0316_Turuncu_Indirim_faz1_Acunn_Interstitial_MC,Net Cost (Calc Margin),MediaTrader,Acunn,300000,1275,Externally Managed,Triggers,Interstitial,4.25,cpm,1,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe3jAAC,1275
0063100000ekisqAAA,TurkeyOpp-896,Xaxis Look-alike Modelling,2016-10-19,2016-11-19,0,Beymen1016_Blender_LAL_Erkek_Appnexus_MEC,Net Cost (Calc Margin),MediaTrader,Appnexus,500000,0,Externally Managed,Triggers,Selected Sites,1.75,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdfWAAS,875
0063100000ekimXAAQ,TurkeyOpp-38,Xaxis Look-alike Modelling,2016-06-01,2016-06-30,484,Beymen0616_Haziran_LAL_MAxad_MEC,Net Cost (Calc Margin),MediaTrader,Maxad,3000,4.24,Externally Managed,Triggers,Selected Sites,1.75,cpc,-113.2857,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdegAAC,5.25
0063100000ejrAwAAI,TurkeyOpp-588,Xaxis TV,2016-01-12,2016-01-31,0,Danone0116_Bebelac_Gold_Preroll_Bond_MEC,Net Cost (Calc Margin),MediaTrader,Bond Digital,10000,300,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,1,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKdivAAC,300
0063100000ejrHBAAY,TurkeyOpp-405,Xaxis Display Plus,2016-04-08,2016-04-09,250,Gratis0416_3Milyonuncu_Kart_interest_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,500000,500,Externally Managed,Triggers,Selected Sites,1,cpm,0.5,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdkkAAC,500
0063100000eklLTAAY,TurkeyOpp-345,Xaxis TV,2016-09-06,2016-09-30,125,SaxoBank0916_Lets_Change_The_Way_Preroll_Midyo_MX,Net Cost (Calc Margin),MediaTrader,Midyo,25000,850,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8529,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKe1EAAS,825
0063100000ekiqgAAA,TurkeyOpp-1185,Xaxis Display Plus,2016-09-09,2016-09-30,488.72,Vodafone0916_Vestel_Olimpia_Contextual_Sahibinden_MS,Net Cost (Calc Margin),MediaTrader,Sahibinden,1800000,3500,Externally Managed,Triggers,Selected Sites,2.5,cpm,0.8604,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeCvAAK,4500
0063100000ejrAYAAY,TurkeyOpp-1628,Xaxis Display Plus,2016-01-18,2016-01-26,50,SaxoBank0116_Essential_Trades_interest_Medyanet_MX,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,650,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe16AAC,650
0063100000ejrDAAAY,TurkeyOpp-491,Xaxis Display Plus,2016-03-01,2016-03-30,50,Burgan0316_Fx_Commedya_interest_MEC,Net Cost (Calc Margin),MediaTrader,Commedya,500000,800,Externally Managed,Triggers,Selected Sites,1.6,cpm,0.9375,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdhrAAC,800
0063100000ejrJfAAI,TurkeyOpp-1720,Xaxis Mobile,2016-05-31,2016-05-31,3368,Mavi0516_Yaz_Menusu_Mobil_Rich_Media_Move_MS,Net Cost (Calc Margin),MediaTrader,Move,842000,8000,Externally Managed,Triggers,Interstitial,9.5,cpm,0.579,From spreadsheet: Turkey | Campaign Data,Interstitial,Mobile,a013100000fKdvDAAS,7999
0063100000ejrHwAAI,TurkeyOpp-1024,Xaxis Display Plus,2016-04-21,2016-04-30,56.52,Akbank0416_Kobi_Ekopos_interest_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,2000000,113.05,Externally Managed,Triggers,Selected Sites,1,cpm,0.5,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdYeAAK,2000
0063100000ejrHwAAI,TurkeyOpp-56,Xaxis Display Plus,2016-04-21,2016-04-30,30.82,Akbank0416_Kobi_Ekopos_interest_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,154.11,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdYfAAK,2000
0063100000ejrBgAAI,TurkeyOpp-149,Xaxis TV,2016-02-09,2016-02-14,200,Altinbas0216_Sevgililer_Gunu_SemDigital_Preroll_MEC,Net Cost (Calc Margin),MediaTrader,Sem Digital,10000,662.97,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.6983,From spreadsheet: Turkey | Campaign Data,Online Video,Video,a013100000fKda6AAC,325
0063100000ejrBOAAY,TurkeyOpp-1292,Xaxis Display Plus,2016-01-22,2016-01-31,50,Huawei0116_Mate_S_interest_Sem_MX,Net Cost (Calc Margin),MediaTrader,Sem Digital,250000,813.71,Externally Managed,Triggers,Selected Sites,2,cpm,0.9386,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdoVAAS,500
0063100000ekis3AAA,TurkeyOpp-1694,Xaxis Rich Media,2016-10-21,2016-10-31,0,Teknosa1016_21-24Ekim_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,650000,0,Externally Managed,Triggers,Interstitial,4.25,cpm,0,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe5lAAC,2762.5
0063100000ejrCXAAY,TurkeyOpp-593,Xaxis Look-alike Modelling,2016-02-01,2016-02-29,1000,Vodafone0216_Corp_Cozumler_Subat_Bond_interest_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,2000000,2600,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.6154,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe8YAAS,2600
