Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000emtLaAAI,TurkeyOpp-2601,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,1340,Vodafone0316_Corp_Cozumler_Adhood_LAL_MS,Net Cost (Calc Margin),MediaTrader,Adhood,1500000,123.52,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9078,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1950,012i0000001EB0yAAG
0063100000emtKTAAY,TurkeyOpp-2190,Xaxis Look-alike Modelling,2016-03-08,2016-03-14,700,Vodafone0316_DDZ_Digitalm_LAL_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,393.32,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.4381,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtKTAAY,TurkeyOpp-834,Xaxis Look-alike Modelling,2016-03-08,2016-03-14,800,Vodafone0316_DDZ_Medyanet_LAL_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,100,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.875,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,800,012i0000001EB0yAAG
0063100000emtKTAAY,TurkeyOpp-1095,Xaxis Look-alike Modelling,2016-03-08,2016-03-14,400,Vodafone0316_DDZ_Commedya_LAL_MS,Net Cost (Calc Margin),MediaTrader,Commedya,500000,50,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.875,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,400,012i0000001EB0yAAG
0063100000emtKTAAY,TurkeyOpp-809,Xaxis Look-alike Modelling,2016-03-08,2016-03-14,600,Vodafone0316_DDZ_Reklamstore_LAL_MS,Net Cost (Calc Margin),MediaTrader,Reklamstore,750000,262.5,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.5625,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,600,012i0000001EB0yAAG
0063100000emtLbAAI,TurkeyOpp-693,Xaxis Display Plus,2016-03-02,2016-03-30,599,Vodafone0316_FillBox_Wave2_Bond_interest_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1000000,215.83,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6397,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,800,012i0000001EB0yAAG
0063100000emtLbAAI,TurkeyOpp-2585,Xaxis Display Plus,2016-03-02,2016-03-30,673.35,Vodafone0316_FillBox_Wave2_Digitalm_interest_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,168.34,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.75,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtLbAAI,TurkeyOpp-652,Xaxis Display Plus,2016-03-02,2016-03-30,410.36,Vodafone0316_FillBox_Wave2_Reklamstore_interest_MS,Net Cost (Calc Margin),MediaTrader,Reklamstore,1500000,179.53,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.5625,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1200,012i0000001EB0yAAG
0063100000emtLcAAI,TurkeyOpp-559,Xaxis Display Plus,2016-03-18,2016-03-30,123.73,Vodafone0316_Project_Atina_Buyback_Bond_interest_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,2000000,116,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.0625,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtLcAAI,TurkeyOpp-1899,Xaxis Display Plus,2016-03-18,2016-03-30,1917,Vodafone0316_Project_Atina_Buyback_Digitalm_interest_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,4000000,639.31,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6665,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,3200,012i0000001EB0yAAG
0063100000emtLdAAI,TurkeyOpp-2108,Xaxis Display Plus,2016-03-17,2016-03-30,45.62,Vodafone0316_Project_Atina_Bond_interest_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,2000000,42.77,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.0625,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtLdAAI,TurkeyOpp-2185,Xaxis Display Plus,2016-03-17,2016-03-30,4755,Vodafone0316_Project_Atina_Digitalm_interest_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,6000000,1200,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.7476,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,4800,012i0000001EB0yAAG
0063100000emtLdAAI,TurkeyOpp-1433,Xaxis Display Plus,2016-03-17,2016-03-30,1600.36,Vodafone0316_Project_Atina_Reklamstore_interest_MS,Net Cost (Calc Margin),MediaTrader,Reklamstore,2000000,700,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.5626,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000emtLeAAI,TurkeyOpp-2542,Xaxis TV,2016-03-11,2016-03-30,2933.64,Vodafone0316_Project_Atina_Bond_Preroll_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,100000,1466.82,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,0.5,From spreadsheet: Turkey | Campaign Data,Online Video,Video,3000,012i0000001EB0yAAG
0063100000emtLeAAI,TurkeyOpp-2475,Xaxis TV,2016-03-11,2016-03-30,1568,Vodafone0316_Project_Atina_Acunn_Preroll_MS,Net Cost (Calc Margin),MediaTrader,Acunn,65000,0,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.03,cpv,1,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1950,012i0000001EB0yAAG
0063100000emtLfAAI,TurkeyOpp-1890,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,1306.23,Vodafone0316_Project_Big_Bang_Medyanet_LAL_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,100,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9234,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1300,012i0000001EB0yAAG
0063100000emtLfAAI,TurkeyOpp-2579,Xaxis Look-alike Modelling,2016-03-01,2016-03-30,93.98,Vodafone0316_Project_Big_Bang_Reklamz_LAL_MS,Net Cost (Calc Margin),MediaTrader,Reklamz,200000,7.23,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,260,012i0000001EB0yAAG
0063100000emtLfAAI,TurkeyOpp-713,Xaxis Rich Media,2016-03-01,2016-03-30,419.1,Vodafone0316_Project_Big_Bang_Acunn_Interstitial_MS,Net Cost (Calc Margin),MediaTrader,Acunn,500000,0,Externally Managed,Triggers,Interstitial,1.3,cpm,1,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,650,012i0000001EB0yAAG
