Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
0063100000ejrKcAAI,TurkeyOpp-330,Xaxis Tv,2016-05-01,2016-05-31,4875,MIchelin0516_Cross_Climate_Preroll_Bond_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,150000,4875,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5385,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrKdAAI,TurkeyOpp-336,Xaxis Display Plus,2016-05-01,2016-05-31,8.98,Michelin0516_Thy_interest_Ligatus_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Ligatus,2993,2708,Externally Managed,Triggers,Selected Sites,3,cpc,0.723,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-338,Xaxis Display Plus,2016-05-01,2016-05-31,4500,Michelin0516_Thy_interest_Appnexus_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Appnexus,1500000,2507,Externally Managed,Triggers,Selected Sites,3,cpm,-2.0148,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-339,Xaxis Display Plus,2016-05-01,2016-05-31,0,Michelin0516_Thy_interest_GoogleAdx_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Google,0,0,Externally Managed,Triggers,Selected Sites,3,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-335,Xaxis Display Plus,2016-05-01,2016-05-31,7500,Michelin0516_Thy_interest_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,2500000,4000,Externally Managed,Triggers,Selected Sites,3,cpm,0.9608,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-337,Xaxis Display Plus,2016-05-01,2016-05-31,3.56,Michelin0516_Thy_interest_Maxad_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Maxad,1187,3.56,Externally Managed,Triggers,Selected Sites,3,cpc,-99.2527,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-334,Xaxis Display Plus,2016-05-01,2016-05-31,7500,Michelin0516_Thy_interest_Digitalm_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,2500000,113,Externally Managed,Triggers,Selected Sites,3,cpm,-3.3668,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKdAAI,TurkeyOpp-333,Xaxis Display Plus,2016-05-01,2016-05-31,3000,Michelin0516_Thy_interest_reklamstore_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamstore,1000000,3108.54,Externally Managed,Triggers,Selected Sites,3,cpm,0.5979,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrKeAAI,TurkeyOpp-349,Xaxis Rich Media,2016-05-01,2016-05-31,2125,Ikea0516_B2B_interstitial_Admatic_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Admatic,500000,2825,Externally Managed,Triggers,Interstitial,4.25,cpm,0.469,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrKeAAI,TurkeyOpp-351,Xaxis Rich Media,2016-05-01,2016-05-31,2125,Ikea0516_B2B_interstitial_Admatic_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,500000,2125,Externally Managed,Triggers,Interstitial,4.25,cpm,0.6471,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrKeAAI,TurkeyOpp-350,Xaxis Rich Media,2016-05-01,2016-05-31,6375,Ikea0516_B2B_interstitial_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1500000,6375,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8824,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrKfAAI,TurkeyOpp-547,Xaxis Rich Media,2016-05-30,2016-05-31,1500.25,Ikea0516_Yaz_indirimi_interstitial_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,353000,1500,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8823,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
