Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Field 24
0063100000emtRfAAI,Turkey:2678,Xaxis Rich Media,2016-08-12,2016-08-15,200,Teknosa0816_Turuncu_Indirim_12-15Agustos_interstitial_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,80000,742,Externally Managed,Triggers,Interstitial,4.25,cpm,-2.71,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,340,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_12-15Agustos_interstitial_MC
0063100000emtRiAAI,Turkey:1546,Xaxis TV,2016-08-16,2016-08-18,300,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,Acunn,10000,150,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5,From spreadsheet: Turkey | Campaign Data,Online Video,Video,330,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_MC
0063100000emtRiAAI,Turkey:2250,Xaxis TV,2016-08-16,2016-08-18,1100,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,Midyo,35000,175,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8409,From spreadsheet: Turkey | Campaign Data,Online Video,Video,1155,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_MC
0063100000emtRiAAI,Turkey:1034,Xaxis TV,2016-08-16,2016-08-18,600,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,20000,300,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.5,From spreadsheet: Turkey | Campaign Data,Online Video,Video,660,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_MC
0063100000emtRiAAI,Turkey:885,Xaxis TV,2016-08-16,2016-08-18,600,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,20000,120,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,0.8,From spreadsheet: Turkey | Campaign Data,Online Video,Video,660,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_16-18Agustos_Preroll_MC
0063100000emtRlAAI,Turkey:684,Xaxis Rich Media,2016-08-19,2016-08-22,2550,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,650000,300.11,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8823,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2762.5,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_MC
0063100000emtRlAAI,Turkey:1836,Xaxis Rich Media,2016-08-19,2016-08-22,1000,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,750,Externally Managed,Triggers,Interstitial,4.25,cpm,0.25,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1275,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_MC
0063100000emtRlAAI,Turkey:1614,Xaxis Rich Media,2016-08-19,2016-08-22,450,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,100000,250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4444,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,425,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_19-22Agustos_interstitial_MC
0063100000emtRnAAI,Turkey:676,Xaxis Rich Media,2016-08-26,2016-08-29,200.42,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_Bond_MC,Net Cost (Calc Margin),MediaTrader,Bond Digital,100000,250,Externally Managed,Triggers,Interstitial,4.25,cpm,-0.2474,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,425,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_MC
0063100000emtRnAAI,Turkey:201,Xaxis Rich Media,2016-08-26,2016-08-29,1200,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,750,Externally Managed,Triggers,Interstitial,4.25,cpm,0.375,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1275,012i0000001EB0yAAG,Teknosa0816_Turuncu_Indirim_26-29Agustos_interstitial_MC
