Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Target_Gender__c,Buy_Type__c,Delivery_Market__c,Frequency_Cap__c,Frequency_Scope__c,Media_Code__c,Special_Product__c,Target_Age_Freeform_Entry__c
0063100000fIKjwAAG,Belgium:20160073-NL,Xaxis TV,"Jan 30, 2016","Mar 4, 2016",5000,Vitalinea TV Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,200000,0,Externally Managed,Interest,Health_AND_Fitness Food_AND_Drink Sports,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKq2AAG,Belgium:20160278-NL,Xaxis Display,"May 30, 2016","Jun 28, 2016",3616,V40 Facelift-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Jelle De Wit,904000,0,Externally Managed,Interest,Personal_Finance Business Law & Gov,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fIKpaAAG,Belgium:20160156-NL,Xaxis Display,"May 12, 2016","Jun 12, 2016",2000,F-Pace interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,500000,0,Externally Managed,Interest,Personal_Finance Business,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,35+
0063100000fILCTAA4,Belgium:20160209-FR,Xaxis Display,"May 16, 2016","Jun 12, 2016",2511.25,Cecemel Morning-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,717500,0,Externally Managed,Socio-demo,,3.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,18-44
0063100000fIKrFAAW,Belgium:20160388-FR,Xaxis Display,"Aug 13, 2016","Aug 19, 2016",268.26,Back to School W1-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,76646,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fIKviAAG,Belgium:20160487-FR,Xaxis Display,"Sep 20, 2016","Sep 30, 2016",2000,Better for Brussels Phase 2-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,1000000,0,Externally Managed,Broad Reach,,2,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKwFAAW,Belgium:20160422-NL,Xaxis Display,"Sep 26, 2016","Oct 23, 2016",4000,Recruitment Politie W2 - Job-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Luis De Waegenaere,1000000,0,Externally Managed,Interest,Careers,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKvoAAG,Belgium:20160371-NL,Xaxis Display,"Aug 16, 2016","Sep 30, 2016",11250,August-Sept RT LAL-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,2250000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqlAAG,Belgium:20160322-NL,Xaxis Display,"Jun 27, 2016","Jul 28, 2016",5000,Last Minute Zomer Family-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,1250000,0,Externally Managed,Interest,Family_AND_Parenting,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKkVAAW,Belgium:20160104-NL,Xaxis TV,"Feb 29, 2016","Apr 3, 2016",2500,Danio TV Socio-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,125000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-40
0063100000fIKvnAAG,Belgium:20160370-FR,Xaxis Display,"Aug 16, 2016","Sep 30, 2016",1794,August-Sept Mobile-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,598000,0,Externally Managed,Interest,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKwgAAG,Belgium:20160486-FR,Xaxis Display,"Oct 1, 2016","Oct 31, 2016",297,October Mobile-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,99000,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKs6AAG,Belgium:20160432-NL,Xaxis Display,"Sep 2, 2016","Sep 23, 2016",5210.5,Fiat Tipo Sync-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Luis De Waegenaere,1302625,0,Externally Managed,Broad Reach,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKxoAAG,Belgium:20160550-NL,Xaxis Audio,"Dec 5, 2016","Dec 18, 2016",2895,Fiesta/Focus Audio-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Romain Belvaux,289500,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fIKwrAAG,Belgium:20160532-NL,Xaxis TV,"Oct 17, 2016","Nov 13, 2016",2025,Jeep Renegade TV October-November -Female-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,101250,0,Externally Managed,Socio-demo,,20,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fIKybAAG,Belgium:20160606-NL,Xaxis TV,"Jan 7, 2017","Jan 27, 2017",4950,Giulia BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,225000,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65+
0063100000fIKjxAAG,Belgium:20160074-FR,Xaxis TV,"Jan 30, 2016","Mar 4, 2016",2500,Vitalinea TV Broad-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,166666.5,0,Externally Managed,Broad Reach,,15,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKkFAAW,Belgium:20160095-NL,Xaxis TV,"Feb 22, 2016","Mar 20, 2016",11465.5,Zalando TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Cynthia Openneer,674441,0,Externally Managed,Socio-demo,,17,,CPM,Belgium,3,Per day,Video,Xaxis TV,20-39
0063100000fIKqTAAW,Belgium:20160293-NL,Xaxis Display,"Jun 13, 2016","Jul 10, 2016",10000,Oikos - Innovation Framboise-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,2857143,0,Externally Managed,Socio-demo,,3.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,35-54
0063100000fIKxzAAG,Belgium:20160496-FR,Xaxis Display,"Oct 7, 2016","Dec 31, 2016",2500,Context Luxembourg-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,833333.5,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKw0AAG,Belgium:20160490-NL,Xaxis Display,"Sep 26, 2016","Oct 9, 2016",11124.87,XC60-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Lucrece de Villenfagne,1483316,0,Externally Managed,Socio-demo,,7.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,35-54
0063100000fIKqJAAW,Belgium:20160287-FR,Xaxis Display,"Jun 6, 2016","Jul 7, 2016",805.275,Moto Cashback-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Bernd Strauven,268425,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKlcAAG,Belgium:20160230-NL,Xaxis Display,"May 3, 2016","May 16, 2016",971.75,Call of Duty Genesis Reveal Mobile-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Bernd Strauven,323916.5,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKkDAAW,Belgium:20160079-FR,Xaxis Display,"Mar 14, 2016","Mar 20, 2016",2500,Audience discovery-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,1250000,0,Externally Managed,Broad Reach,,2,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKxDAAW,Belgium:20160327-FR,Xaxis TV,"Oct 24, 2016","Nov 20, 2016",6392.5,Suntory Oasis TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Amelie Esmanne,255700,0,Externally Managed,Interest,Family_AND_Parenting,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fIKlKAAW,Belgium:20160147-FR,Xaxis TV,"Apr 18, 2016","May 8, 2016",1520,Bepanthen W2-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,76000,0,Externally Managed,Socio-demo,,20,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fIKpwAAG,Belgium:20160267-FR,Xaxis TV,"Jun 6, 2016","Jun 26, 2016",3375,Fullback TV Audience Discovery-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,225000,0,Externally Managed,Broad Reach,,15,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKqjAAG,Belgium:20160290-NL,Xaxis Display,"Jun 6, 2016","Jul 25, 2016",4000,Olvarit Sunrise pre-empt-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Amelie Esmanne,1000000,0,Externally Managed,Interest,CultureAndEntertainment Sport Babies & Toddler,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKkTAAW,Belgium:20160099-FR,Xaxis Display,"Mar 1, 2016","Mar 31, 2016",2250,Maart RT & LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,450000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqcAAG,Belgium:20160338-FR,Xaxis Display,"Jun 29, 2016","Jul 17, 2016",882,Momentum 3 W2 Context-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Celia Stevens,294000,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKjNAAW,Belgium:20160022-NL,Xaxis Display,"Jan 14, 2016","Jan 31, 2016",2000,Salon de l'auto-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,500000,0,Externally Managed,Interest,Personal_Finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqvAAG,Belgium:20160344-NL,Xaxis Display,"Jun 30, 2016","Jul 31, 2016",2500,Mustang Context-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,833333.5,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKoyAAG,Belgium:20160180-NL,Xaxis TV,"Apr 21, 2016","May 20, 2016",9000,Cross Climate W1 TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Marie Julie Billen,360000,0,Externally Managed,Interest,Automotive Sports Travel,25,Male,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fIKrmAAG,Belgium:20160394-NL,Xaxis TV,"Aug 15, 2016","Sep 11, 2016",16500,Study TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Anna Rudakova,825000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,18-24
0063100000fIKwTAAW,Belgium:20160537-FR,Xaxis TV,"Oct 17, 2016","Oct 30, 2016",4000,Alfa Romeo Giulia October - TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,200000,0,Externally Managed,Socio-demo,,20,Male,CPM,Belgium,3,Per day,Video,Xaxis TV,30-64
0063100000fILCwAAO,Belgium:20160442-NL,Xaxis TV,"Aug 30, 2016","Sep 25, 2016",8000,Mentos Gum Fliptop TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Amelie Esmanne,400000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,18-35
0063100000fIKp3AAG,Belgium:20160196-NL,Xaxis TV,"Apr 11, 2016","May 22, 2016",5000,Vitalinea April Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,200000,0,Externally Managed,Interest,,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fILCaAAO,Belgium:20160330-FR,Xaxis Display,"Jun 30, 2016","Jul 30, 2016",4459.625,Range Rover Convertible-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Victoria Rerikh,1114907,0,Externally Managed,Interest,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,35+
0063100000fIKl4AAG,Belgium:20160158-FR,Xaxis Display,"Apr 1, 2016","Apr 30, 2016",4097.52,April RT & LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,819504,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKx7AAG,Belgium:20160546-FR,Xaxis Display,"Oct 26, 2016","Nov 15, 2016",7500,S-Max Vignale Interest Automotive-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,1875000,0,Externally Managed,Interest,Automotive,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqSAAW,Belgium:20160309-NL,Xaxis Display,"Jun 13, 2016","Jul 10, 2016",2500,Tall ship races Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,625000,0,Externally Managed,Interest,Family_AND_Parenting Sailing,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fILCnAAO,Belgium:20160438-NL,Xaxis Display,"Oct 1, 2016","Oct 31, 2016",8700,Value for me Winter Socio demo-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,2485714,0,Externally Managed,Socio-demo,,3.5,Male,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fIKyqAAG,Belgium:20160596-NL,Xaxis Display,"Jan 13, 2017","Feb 5, 2017",3000,TIPO BMS Display-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,750000,0,Externally Managed,Socio-demo,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65+
0063100000fIKy0AAG,Belgium:20160598-FR,Xaxis Display,"Nov 28, 2016","Dec 31, 2016",3700,Kuga Display-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,925000,0,Externally Managed,Socio-demo,Automotive Sports Travel,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-50
0063100000fIKkEAAW,Belgium:20160119-FR,Xaxis TV,"Mar 7, 2016","Mar 20, 2016",3600,Cloverfield-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,144000,0,Externally Managed,Interest,Arts_AND_Entertainment Movies,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,18-34
0063100000fIKypAAG,Belgium:20160595-FR,Xaxis TV,"Jan 13, 2017","Feb 5, 2017",9000,TIPO BMS TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,450000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65
