Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Target_Gender__c,Buy_Type__c,Delivery_Market__c,Frequency_Cap__c,Frequency_Scope__c,Media_Code__c,Special_Product__c,Target_Age_Freeform_Entry__c
0063100000fIKprAAG,Belgium:20160300-FR,Xaxis Display,"Jun 14, 2016","Jun 23, 2016",6500,S Max Audience Discovery-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,3250000,0,Externally Managed,Broad Reach,,2,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqPAAW,Belgium:20160306-FR,Xaxis TV,"Jun 13, 2016","Jul 10, 2016",4949.19,Tall ship races Interest TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,197967.5,0,Externally Managed,Interest,Family_AND_Parenting Sailing,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKq7AAG,Belgium:20160185-NL,Xaxis Display,"Apr 4, 2016","Jun 30, 2016",7500,Transit Q2 Context-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Candida Cennamo,2500000,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKpbAAG,Belgium:20160157-FR,Xaxis Display,"May 12, 2016","Jun 12, 2016",750,F-Pace RT-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,150000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKyTAAW,Belgium:20160604-FR,Xaxis Display,"Nov 28, 2016","Dec 28, 2016",2852.687,Glenfiddich EOY Display Interest BE-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,713171.4,0,Externally Managed,Interest,Upscale Lifestyle,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKwIAAW,Belgium:20160436-FR,Xaxis TV,"Aug 29, 2016","Oct 23, 2016",0.81,Nutrilon Curiosity RT-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Amelie Esmanne,27,0,Externally Managed,Retargeting,,30,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKy2AAG,Belgium:20160140-NL,Xaxis Display,"Sep 1, 2016","Dec 31, 2016",3866,LEZ W2-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,966500,0,Externally Managed,Interest,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKvZAAW,Belgium:20160451-NL,Xaxis TV,"Sep 5, 2016","Sep 25, 2016",6000,Back to School - Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Luis De Waegenaere,240000,0,Externally Managed,Interest,Food_AND_Drink,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKvjAAG,Belgium:20160427-FR,Xaxis Display,"Sep 2, 2016","Sep 30, 2016",2500,Giulia Interest Q3-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Luis De Waegenaere,625000,0,Externally Managed,Interest,Automotive Business Personal_Finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKjPAAW,Belgium:20160029-NL,Xaxis TV,"Jan 4, 2016","Jan 31, 2016",7626.6,Royco TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Vanessa De Coninck,381330,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-44
0063100000fIKqQAAW,Belgium:20160307-NL,Xaxis Display,"Jun 13, 2016","Jul 10, 2016",2500,Tall ship races Antwerp-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,1250000,0,Externally Managed,Broad Reach,,2,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKrEAAW,Belgium:20160362-NL,Xaxis Display,"Jul 27, 2016","Aug 16, 2016",1200,Bonuskaart mobile-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Bernd Strauven,400000,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKkwAAG,Belgium:20160190-NL,Xaxis Display,"Apr 18, 2016","Apr 24, 2016",2264.8,Promo Route 99 April-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Bernd Strauven,566200,0,Externally Managed,Interest,TBD,4,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fIKjcAAG,Belgium:20160057-FR,Xaxis TV,"Jan 18, 2016","Feb 14, 2016",15000,Oykos TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,750000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,35-54
0063100000fIKpjAAG,Belgium:20160151-NL,Xaxis Display,"Apr 18, 2016","Jun 19, 2016",1500,March June Retargerting-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,300000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKl1AAG,Belgium:20160159-FR,Xaxis Display,"Apr 1, 2016","Apr 30, 2016",6300,Parcel Delivery Methods Sync-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,1575000,0,Externally Managed,Broad Reach,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKrOAAW,Belgium:20160368-NL,Xaxis Audio,"Aug 15, 2016","Aug 28, 2016",4000,Audio wk 33-34-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Magali Merveille,400000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fIKs2AAG,Belgium:20160465-NL,Xaxis Display,"Sep 12, 2016","Sep 18, 2016",1508.5,Promo Q4 theme Krassen - Desktop-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Bernd Strauven,431000,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fIKjPAAW,Belgium:20160029-FR,Xaxis TV,"Jan 4, 2016","Jan 31, 2016",5084.4,Royco TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Vanessa De Coninck,254220,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-44
0063100000fIKjOAAW,Belgium:20160023-NL,Xaxis Display,"Jan 14, 2016","Jan 31, 2016",500,Salon de l'auto RT-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,100000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKp4AAG,Belgium:20160228-NL,Xaxis TV,"May 11, 2016","May 22, 2016",8800,The Nice Guys TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,440000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,15-44
0063100000fIKq7AAG,Belgium:20160185-FR,Xaxis Display,"Apr 4, 2016","Jun 30, 2016",7500,Transit Q2 Context-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Candida Cennamo,2500000,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKlfAAG,Belgium:20160179-NL,Xaxis Display,"Apr 21, 2016","May 20, 2016",13200,Cross Climate W1-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Marie Julie Billen,3300000,0,Externally Managed,Interest,Automotive Sports Travel,4,Male,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fIKqpAAG,Belgium:20160334-NL,Xaxis Display,"Jun 30, 2016","Jul 30, 2016",1125,Evoque Convertible Triggers-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Jelle De Wit,250000,0,Externally Managed,Socio-demo,,4.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,35+
0063100000fIKrpAAG,Belgium:20160376-FR,Xaxis Display,"Aug 15, 2016","Sep 14, 2016",5085,Value for me Summer Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,1271250,0,Externally Managed,Interest,Automotive,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKyVAAW,Belgium:20160573-FR,Xaxis Display,"Nov 20, 2016","Dec 31, 2016",12500,Mondeo ST Interest Display-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,3125000,0,Externally Managed,Interest,News Sports Business and finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,35-64
0063100000fIKkNAAW,Belgium:20160010-FR,Xaxis TV,"Feb 22, 2016","Mar 27, 2016",7200,Aquaclean TV Socio W1-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,360000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,35+
0063100000fIKrqAAG,Belgium:20160456-NL,Xaxis TV,"Sep 1, 2016","Sep 14, 2016",4250,Boost pre-roll-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Florence Gilbert,170000,0,Externally Managed,Interest,Personal_Finance Home_and_garden,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKxVAAW,Belgium:20160566-FR,Xaxis Display,"Nov 14, 2016","Nov 28, 2016",4000,P9 Launch Campaign Display Impact-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Luis De Waegenaere,400000,0,Externally Managed,Interest,Technology_AND_Computing Lifestyle,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,20-39
0063100000fIKkjAAG,Belgium:20160109-NL,Xaxis Display,"Mar 14, 2016","Apr 14, 2016",1750,Ranger Context-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Candida Cennamo,583333.5,0,Externally Managed,Context,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fIKqxAAG,Belgium:20160346-FR,Xaxis TV,"Jun 30, 2016","Jul 31, 2016",12500,Mustang TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,500000,0,Externally Managed,Interest,Automotive Personal Finance Travel,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fIKynAAG,Belgium:20160543-FR,Xaxis Display,"Nov 15, 2016","Jan 31, 2017",2800,Parcel Locker Always On-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,700000,0,Externally Managed,Interest,Shopping,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,25-50
0063100000fIKyEAAW,Belgium:20160529-NL,Xaxis Audio,"Jan 1, 2016","Dec 26, 2016",3200,Audio wk 52-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Nathalie Vanderlinden,320000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fIKpcAAG,Belgium:20160271-NL,Xaxis TV,"May 30, 2016","Jun 12, 2016",5000,Professionals TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Julie Schauwers,200000,0,Externally Managed,Interest,Personal_Finance News Business,25,,CPM,Belgium,3,Per day,Video,Xaxis TV,
