Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Target_Gender__c,Buy_Type__c,Delivery_Market__c,Frequency_Cap__c,Frequency_Scope__c,Media_Code__c,Special_Product__c,Target_Age_Freeform_Entry__c
0063100000fmdLaAAI,Belgium:20160614-NL,Xaxis TV,"Jan 9, 2017","Jan 29, 2017",6250,BMS Jaguar TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,284091,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fmdL3AAI,Belgium:20160618-FR,Xaxis Display,"Dec 1, 2016","Dec 31, 2016",18500,Ka+ Automotive-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,4625000,0,Externally Managed,Interest,Automotive,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLuAAI,Belgium:20160656-FR,Xaxis TV,"Oct 2, 2017","Oct 22, 2017",4000.004,Supradyn - Octobre-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,181818.4,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,35-54
0063100000fmdLQAAY,Belgium:20160650-NL,Xaxis TV,"Jan 16, 2017","Feb 19, 2017",7800,Canesten - Jan/Fev-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,400145.4,0,Externally Managed,Socio-demo,,19.49,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLoAAI,Belgium:20160635-NL,Xaxis TV,"May 1, 2017","May 21, 2017",18720,Aquaclean MFT Mera & Tuma TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,720000,0,Externally Managed,Interest,News Finance Home&Garden,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fmdLEAAY,Belgium:20160659-NL,Xaxis Display,"Jan 14, 2017","Jan 31, 2017",3750,Jeep BMS Fleet HP+Billbloard Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,375000,0,Externally Managed,Interest,business,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fmdLRAAY,Belgium:20160641-NL,Xaxis Display,"Jan 2, 2017","Jan 8, 2017",1508.5,Promo Januari Hamsteren W1-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,431000,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fmdL0AAI,Belgium:20160640-NL,Xaxis Display,"Dec 20, 2016","Dec 24, 2016",1000.13,Promo Q4 Suite Feesten-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,285751,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fmdLPAAY,Belgium:20160663-FR,Xaxis Display,"Jan 13, 2017","Feb 13, 2017",3750,TIPO BMS Fleet HP+Billboard Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,375000,0,Externally Managed,Interest,business,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLDAAY,Belgium:20160658-NL,Xaxis Display,"Jan 14, 2017","Jan 31, 2017",4950,Jeep BMS Display Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,1100000,0,Externally Managed,Interest,Jeep_BMS,4.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fmdLWAAY,Belgium:20160631-NL,Xaxis Audio,"Jan 9, 2017","Jan 21, 2017",3705,Ford Gamma Audio-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Frauke Van den Broeck,370500,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdLhAAI,Belgium:20160669-FR,Xaxis TV,"Jan 9, 2017","Feb 12, 2017",11462.5,Actimel 2017 TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Kristine Janssen,521022.5,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLtAAI,Belgium:20160668-NL,Xaxis Display,"Mar 27, 2017","Oct 1, 2017",7400,Love nature W2 Triggers-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Lucrece de Villenfagne,1345455,0,Externally Managed,Interest,Home interior & design,5.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLMAAY,Belgium:20160660-FR,Xaxis TV,"Jan 20, 2017","Feb 13, 2017",5500,TIPO BMS TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,250000,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65
0063100000fmdL7AAI,Belgium:20160649-FR,Xaxis Display,"Dec 9, 2016","Dec 31, 2016",1250,Boost EOY LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,250000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLIAAY,Belgium:20160655-NL,Xaxis TV,"Jan 9, 2017","Feb 5, 2017",6269.262,Supradyn - Jan/Fev-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,284966.4,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,35-54
0063100000fmdLLAAY,Belgium:20160627-FR,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",3750,Giulia BMS Fleet HP+Billbloard-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,375000,0,Externally Managed,Socio-demo,,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
